
C:\work\tx>java -cp out oracle.common.KBarBuilder input/20151119_MTX.txt 
Too few sequence #2
# of KBar units = 175
8373.0 8390.0 8370.0 8384.0
8373.0 8390.0 8370.0 8383.0
8373.0 8390.0 8370.0 8385.0
8373.0 8395.0 8370.0 8394.0
8373.0 8401.0 8370.0 8387.0
8373.0 8401.0 8362.0 8363.0
8373.0 8401.0 8354.0 8367.0
8373.0 8401.0 8353.0 8365.0
8373.0 8401.0 8342.0 8342.0
8373.0 8401.0 8342.0 8365.0
8373.0 8401.0 8342.0 8396.0
8373.0 8406.0 8342.0 8401.0
8373.0 8409.0 8342.0 8384.0
8373.0 8409.0 8342.0 8392.0
8373.0 8409.0 8342.0 8407.0
8373.0 8429.0 8342.0 8429.0
8373.0 8435.0 8342.0 8423.0
8373.0 8463.0 8342.0 8463.0
8373.0 8468.0 8342.0 8367.0
8373.0 8468.0 8342.0 8379.0
8373.0 8468.0 8342.0 8370.0
8373.0 8468.0 8342.0 8375.0
8373.0 8468.0 8342.0 8380.0
8373.0 8468.0 8342.0 8370.0
8373.0 8468.0 8342.0 8359.0
8373.0 8468.0 8342.0 8360.0
8373.0 8468.0 8342.0 8365.0
8373.0 8468.0 8342.0 8370.0
8373.0 8468.0 8342.0 8382.0
8373.0 8468.0 8342.0 8384.0
8373.0 8468.0 8342.0 8377.0
8373.0 8468.0 8342.0 8373.0
8373.0 8468.0 8342.0 8356.0
8373.0 8468.0 8342.0 8359.0
8373.0 8468.0 8342.0 8354.0
8373.0 8468.0 8342.0 8359.0
8373.0 8468.0 8342.0 8343.0
8373.0 8468.0 8340.0 8346.0
8373.0 8468.0 8340.0 8349.0
8373.0 8468.0 8335.0 8342.0
8373.0 8468.0 8335.0 8345.0
8373.0 8468.0 8335.0 8353.0
8373.0 8468.0 8335.0 8346.0
8373.0 8468.0 8335.0 8338.0
8373.0 8468.0 8323.0 8323.0
8373.0 8468.0 8323.0 8332.0
8373.0 8468.0 8323.0 8331.0
8373.0 8468.0 8323.0 8341.0
8373.0 8468.0 8323.0 8345.0
8373.0 8468.0 8323.0 8354.0
8373.0 8468.0 8323.0 8347.0
8373.0 8468.0 8323.0 8341.0
8373.0 8468.0 8323.0 8344.0
8373.0 8468.0 8323.0 8358.0
8373.0 8468.0 8323.0 8367.0
8373.0 8468.0 8323.0 8369.0
8373.0 8468.0 8323.0 8370.0
8373.0 8468.0 8323.0 8379.0
8373.0 8468.0 8323.0 8390.0
8373.0 8468.0 8323.0 8393.0
8373.0 8468.0 8323.0 8388.0
8373.0 8468.0 8323.0 8386.0
8373.0 8468.0 8323.0 8386.0
8373.0 8468.0 8323.0 8385.0
8373.0 8468.0 8323.0 8379.0
8373.0 8468.0 8323.0 8384.0
8373.0 8468.0 8323.0 8390.0
8373.0 8468.0 8323.0 8393.0
8373.0 8468.0 8323.0 8388.0
8373.0 8468.0 8323.0 8375.0
8373.0 8468.0 8323.0 8367.0
8373.0 8468.0 8323.0 8371.0
8373.0 8468.0 8323.0 8381.0
8373.0 8468.0 8323.0 8373.0
8373.0 8468.0 8323.0 8383.0
8373.0 8468.0 8323.0 8389.0
8373.0 8468.0 8323.0 8394.0
8373.0 8468.0 8323.0 8390.0
8373.0 8468.0 8323.0 8394.0
8373.0 8468.0 8323.0 8404.0
8373.0 8468.0 8323.0 8402.0
8373.0 8468.0 8323.0 8404.0
8373.0 8468.0 8323.0 8412.0
8373.0 8468.0 8323.0 8413.0
8373.0 8468.0 8323.0 8416.0
8373.0 8468.0 8323.0 8417.0
8373.0 8468.0 8323.0 8421.0
8373.0 8468.0 8323.0 8419.0
8373.0 8468.0 8323.0 8420.0
8373.0 8468.0 8323.0 8427.0
8373.0 8468.0 8323.0 8435.0
8373.0 8468.0 8323.0 8442.0
